日付,①,②,③
2026/2/3,79.66,-4.83,27.87
2026/2/2,57.16,-7.49,28.35
2026/1/30,50.27,-6.35,29.1
2026/1/29,25.82,-4.29,29.74
2026/1/28,20.04,-2.29,30.17
2026/1/27,14.75,-2.69,30.4
2026/1/26,16.35,-3.96,30.66
2026/1/23,-1.09,-0.7,31.06
2026/1/22,-2.24,0.43,31.13
2026/1/21,23.32,-4.94,31.09
2026/1/20,12.21,-3.08,31.58
2026/1/19,-1.43,-3.49,31.89
2026/1/16,-0.49,-5.79,32.24
2026/1/15,-1.35,-7.15,32.82
2026/1/14,-2.98,-6.36,33.53
2026/1/13,-2.83,-7.06,34.17
2026/1/9,-9.33,-10.54,34.87
2026/1/8,2.59,-6.88,35.93
2026/1/7,-1.93,-6.39,36.62
2026/1/6,-7.98,-7.49,37.25
2026/1/5,-17.56,-7.08,38
2025/12/30,-29.41,-8.63,38.71
2025/12/29,-38.79,-6.21,39.57
2025/12/26,-43.58,-6.33,40.2
2025/12/25,-38.89,-5.76,40.83
2025/12/24,-41.17,-6.98,41.4
2025/12/23,-39.41,-7.39,42.1
2025/12/22,-11.8,-7.65,42.84
2025/12/19,-11.35,-8.37,43.61
2025/12/18,4.79,-6.44,44.44
2025/12/17,1.4,-7.19,45.09
2025/12/16,-4.32,-5.67,45.81
2025/12/15,-13.85,-2.45,46.37
2025/12/12,-24.88,-2.75,46.62
2025/12/11,-16.87,-5.06,46.89
2025/12/10,-22.69,-2.29,47.4
2025/12/9,-12.1,-1.55,47.63
2025/12/8,4.61,-0.73,47.78
2025/12/5,-1.76,2.06,47.86
2025/12/4,-4.26,4.7,47.65
2025/12/3,4.08,3.52,47.18
2025/12/2,3.24,1.5,46.83
2025/12/1,20.4,0.9,46.68
2025/11/28,0.59,0.93,46.59
2025/11/27,1.75,-0.73,46.5
2025/11/26,11.31,-1.91,46.57
2025/11/25,27.24,-2.85,46.76
2025/11/21,4.5,-2.41,47.05
2025/11/20,-2.64,-1.44,47.29
2025/11/19,17.67,-3.18,47.43
2025/11/18,6.59,-3.08,47.75
2025/11/17,-6.92,-0.33,48.06
2025/11/14,2.24,0.06,48.09
2025/11/13,-6.48,3.57,48.08
2025/11/12,2.95,4.97,47.73
2025/11/11,11.64,5.42,47.23
2025/11/10,27.15,6.46,46.69
2025/11/7,30.57,6.26,46.04
2025/11/6,21.17,9.09,45.42
2025/11/5,36.54,6.06,44.51
2025/11/4,18.37,8.02,43.9
2025/10/31,0.9,10.38,43.1
2025/10/30,16.5,9.07,42.06
2025/10/29,15.4,7.87,41.16
2025/10/28,6.19,5.49,40.37
2025/10/27,11.77,4.39,39.82
2025/10/24,1.06,3.21,39.38
2025/10/23,8.81,4.26,39.06
2025/10/22,17.09,5.4,38.64
2025/10/21,18.11,4.57,38.1
2025/10/20,17.03,4.47,37.64
2025/10/17,42.81,2.77,37.19
2025/10/16,20.23,5.53,36.92
2025/10/15,21.97,3.94,36.36
2025/10/14,32.23,3.47,35.97
2025/10/10,19.94,5.8,35.62
2025/10/9,12.57,7.87,35.04
2025/10/8,13.66,6.14,34.26
2025/10/7,4.57,6.29,33.64
2025/10/6,17.66,6.85,33.01
2025/10/3,7.11,1.94,32.33
2025/10/2,6.45,-0.84,32.13
2025/10/1,5.58,-1.82,32.22
2025/9/30,2.92,-1.02,32.4
2025/9/29,0.85,-1.72,32.5
2025/9/26,0.19,-1.34,32.67
2025/9/25,-6.95,-2.39,32.81
2025/9/24,-1,-0.49,33.05
2025/9/22,-2.78,2.56,33.09
2025/9/19,-3.52,0.97,32.84
2025/9/18,-5.46,-0.26,32.74
2025/9/17,-3.42,0.55,32.77
2025/9/16,-5.54,0.57,32.71
2025/9/12,-5.8,0.83,32.65
2025/9/11,-9.03,1.26,32.57
2025/9/10,-14.01,-5.87,32.45
2025/9/9,-3.83,-3.82,33.03
2025/9/8,-12.5,-7.09,33.41
2025/9/5,-2.86,-1.88,34.12
2025/9/4,-0.14,-0.9,34.31
2025/9/3,0.2,-0.42,34.4
2025/9/2,-3.02,0.51,34.44
2025/9/1,-1.08,-0.13,34.39
2025/8/29,-6.11,1.65,34.4
2025/8/28,-7.57,2.73,34.24
2025/8/27,-4.13,4.62,33.97
2025/8/26,-6.26,5.02,33.5
2025/8/25,-13.54,5.99,33
2025/8/22,-8.73,7.08,32.4
2025/8/21,-8.74,7.39,31.7
2025/8/20,-6.01,7.35,30.96
2025/8/19,-11.79,6.84,30.22
2025/8/18,-5.32,7.19,29.54
2025/8/15,-5.28,6.14,28.82
2025/8/14,-6.6,5.7,28.21
2025/8/13,-15.13,5.58,27.63
2025/8/12,-19.76,4.57,27.08
2025/8/8,-15.6,4.13,26.62
2025/8/7,-8.6,4.55,26.21
2025/8/6,-2.14,5.15,25.75
2025/8/5,-6.51,5.15,25.24
2025/8/4,3.48,5.07,24.72
2025/8/1,-3.93,6.01,24.22
2025/7/31,-8.06,9.2,23.62
2025/7/30,-5.58,7.61,22.69
2025/7/29,-10.12,7.24,21.93
2025/7/28,-19.14,11.46,21.21
2025/7/25,-18.71,12.42,20.06
2025/7/24,-13.97,15.75,18.82
2025/7/23,-12.11,15.33,17.25
2025/7/22,-7.81,12.14,15.71
2025/7/18,-2.89,12.23,14.5
2025/7/17,-12.57,13.41,13.28
2025/7/16,2.73,11.44,11.93
2025/7/15,3.03,11.18,10.79
2025/7/14,4.27,11.52,9.67
2025/7/11,0.18,9.68,8.52
2025/7/10,-4.06,14.95,7.55
2025/7/9,-1.26,13.67,6.06
2025/7/8,8.99,17.18,4.69
2025/7/7,10.83,14.64,2.97
2025/7/4,5.28,13.44,1.51
2025/7/3,8.53,11.37,0.17
2025/7/2,8.98,11.47,-0.97
2025/7/1,2.81,13.58,-2.12
2025/6/30,-0.67,12.82,-3.48
2025/6/27,-7.11,11.43,-4.76
2025/6/26,-7.43,10.76,-5.9
2025/6/25,-9.78,9.41,-6.98
2025/6/24,5.19,10.27,-7.92
2025/6/23,8.93,8.68,-8.94
2025/6/20,4.96,8.1,-9.81
2025/6/19,21.77,8.44,-10.62
2025/6/18,13.76,10.47,-11.47
2025/6/17,15.01,11.04,-12.51
2025/6/16,17.75,12.16,-13.62
2025/6/13,15.62,12.5,-14.83
2025/6/12,-4.19,11.69,-16.08
2025/6/11,-22.58,14.55,-17.25
2025/6/10,-26.81,13.51,-18.71
2025/6/9,-18.96,14.86,-20.06
2025/6/6,-13.72,10.41,-21.55
2025/6/5,-16.85,8.14,-22.59
2025/6/4,-24.03,5.99,-23.4
2025/6/3,-20.29,6.85,-24
2025/6/2,-23.72,4.04,-24.68
2025/5/30,-28.47,2.86,-25.09
2025/5/29,-39.12,2.75,-25.37
2025/5/28,-38.91,0.4,-25.65
2025/5/27,-30.5,1.22,-25.69
2025/5/26,-31.68,0.22,-25.81
2025/5/23,-37.98,-0.14,-25.83
2025/5/22,-33.42,-1.28,-25.82
2025/5/21,-48.71,-0.82,-25.69
2025/5/20,-51.71,-0.55,-25.61
2025/5/19,-43.81,0.86,-25.55
2025/5/16,-69.71,2.67,-25.64
2025/5/15,-60.23,2.44,-25.91
2025/5/14,-70.33,2.62,-26.15
2025/5/13,-47,1.48,-26.41
2025/5/12,-30.13,0.16,-26.56
2025/5/9,-15.47,-0.83,-26.58
2025/5/8,-0.52,-3.8,-26.49
2025/5/7,4.47,-3.22,-26.11
2025/5/2,22.39,-3.16,-25.79
2025/5/1,24.75,-2.86,-25.47
2025/4/30,35.53,-7.01,-25.19
2025/4/28,41.23,-7.26,-24.49
2025/4/25,39.55,-7.58,-23.76
2025/4/24,51.42,-9.22,-23
2025/4/23,43.91,-7.77,-22.08
2025/4/22,62.8,-9.39,-21.3
2025/4/21,54.91,-8.44,-20.36
2025/4/18,34.69,-6.77,-19.52
2025/4/17,27.53,-6.77,-18.84
2025/4/16,37.3,-8.21,-18.17
2025/4/15,26.28,-8.06,-17.34
2025/4/14,50.52,-8.61,-16.54
