日付,⑥,⑦
2026/4/7,-13.8,7.14
2026/4/6,-14,7.31
2026/4/4,-14.2,7.48
2026/4/3,-14.4,7.72
2026/4/2,-14.6,7.58
2026/3/31,-14.8,7.3
2026/3/30,-15,7.06
2026/3/28,-15.1,6.7
2026/3/27,-15.2,6.35
2026/3/26,-15.3,5.94
2026/3/24,-15.3,5.48
2026/3/23,-15.3,5.03
2026/3/21,-15.3,4.57
2026/3/19,-15.2,4.03
2026/3/17,-15.2,3.75
2026/3/16,-15.1,3.7
2026/3/14,-14.9,3.65
2026/3/13,-14.8,3.56
2026/3/12,-14.7,3.42
2026/3/10,-14.5,3.29
2026/3/9,-14.3,3.07
2026/3/7,-14.2,2.92
2026/3/6,-14,2.59
2026/3/5,-13.8,2.41
2026/3/3,-13.6,2.23
2026/3/2,-13.4,2.02
2026/2/28,-13.2,1.96
2026/2/27,-13,1.92
2026/2/26,-12.9,1.9
2026/2/24,-12.7,1.88
2026/2/23,-12.5,1.95
2026/2/21,-12.4,1.95
2026/2/20,-12.2,1.95
2026/2/19,-12,1.82
2026/2/17,-11.9,1.73
2026/2/16,-11.7,1.66
2026/2/14,-11.5,1.57
2026/2/13,-11.3,1.32
2026/2/12,-11.1,1.07
2026/2/10,-10.9,1
2026/2/9,-10.6,0.86
2026/2/7,-10.4,0.8
2026/2/6,-10.2,0.84
2026/2/5,-10,0.88
2026/2/3,-9.8,0.89
2026/2/2,-9.6,0.85
2026/1/31,-9.4,0.72
2026/1/30,-9.2,0.67
2026/1/29,-9.1,0.66
2026/1/27,-8.9,0.51
2026/1/26,-8.8,0.36
2026/1/24,-8.6,0.02
2026/1/23,-8.4,0.03
2026/1/22,-8.2,-0.26
2026/1/20,-8,-0.58
2026/1/19,-7.7,-0.76
2026/1/17,-7.5,-0.93
2026/1/16,-7.3,-1.2
2026/1/15,-7,-1.35
2026/1/13,-6.7,-1.41
2026/1/12,-6.3,-1.63
2026/1/10,-5.9,-1.66
2026/1/9,-5.5,-2.08
2026/1/8,-5.1,-2.24
2026/1/6,-4.7,-2.3
2026/1/5,-4.3,-2.52
2025/12/30,-3.9,-2.79
2025/12/29,-3.5,-2.91
2025/12/28,-3.1,-3.31
2025/12/27,-2.8,-3.64
2025/12/26,-2.4,-3.87
2025/12/25,-2.1,-3.99
2025/12/23,-1.8,-4.07
2025/12/22,-1.6,-4.23
2025/12/20,-1.4,-4.27
2025/12/19,-1.2,-4.38
2025/12/18,-1,-4.57
2025/12/16,-0.9,-4.6
2025/12/15,-0.7,-4.45
2025/12/13,-0.7,-4.45
2025/12/12,-0.6,-4.41
2025/12/11,-0.5,-4.49
2025/12/9,-0.4,-4.63
2025/12/8,-0.3,-4.56
2025/12/6,-0.2,-4.81
2025/12/5,-0.1,-4.82
2025/12/4,0,-4.69
2025/12/2,0.1,-4.7
2025/12/2,0.2,-4.72
2025/11/28,0.3,-4.83
2025/11/27,0.4,-4.96
2025/11/26,0.6,-5.07
2025/11/25,0.7,-5.19
2025/11/24,0.9,-5.44
2025/11/22,1,-5.44
2025/11/21,1.2,-5.64
2025/11/20,1.3,-5.89
2025/11/18,1.4,-6.05
2025/11/17,1.5,-6.5
2025/11/15,1.5,-6.94
2025/11/14,1.6,-7.09
2025/11/13,1.6,-7.04
2025/11/11,1.6,-7.08
2025/11/10,1.6,-7.12
2025/11/8,1.6,-7.19
2025/11/7,1.5,-7.14
2025/11/6,1.5,-7.14
2025/11/4,1.4,-7.22
2025/11/3,1.3,-6.93
2025/11/1,1.3,-6.55
2025/10/31,1.3,-6.44
2025/10/30,1.3,-6.57
2025/10/28,1.3,-6.55
2025/10/27,1.3,-6.54
2025/10/25,1.2,-6.41
2025/10/24,1.2,-6.51
2025/10/23,1.2,-6.44
2025/10/21,1.2,-6.47
2025/10/20,1.2,-6.6
2025/10/18,1.1,-6.78
2025/10/17,1.1,-6.95
2025/10/16,1,-7.13
2025/10/15,1,-7.18
2025/10/14,0.9,-7.2
2025/10/13,0.8,-7.29
2025/10/11,0.7,-7.09
2025/10/10,0.6,-7.02
2025/10/9,0.5,-6.89
2025/10/7,0.4,-6.53
2025/10/6,0.4,-6.18
2025/10/4,0.3,-5.82
2025/10/3,0.2,-5.27
2025/10/2,0.2,-5.03
2025/9/30,0.2,-4.65
2025/9/29,0.2,-4.57
2025/9/27,0.2,-4.52
2025/9/26,0.3,-4.36
2025/9/25,0.4,-4.34
2025/9/24,0.5,-4.26
2025/9/23,0.6,-4.09
2025/9/22,0.8,-4.07
2025/9/20,0.9,-4.26
2025/9/19,1.1,-4.32
2025/9/18,1.3,-4.45
2025/9/17,1.4,-4.42
2025/9/16,1.5,-4.32
